"location","visityear","mpbyear","BEETLEAREA150","BEETLEAREA300","BEETLEAREA500","SEVERITY150","DOMCLASS150","SEVERITY300","DOMCLASS300","SEVERITY500","DOMCLASS500","BURNAREA150","BURNAREA300","BURNAREA500","latitude","longitude","maxFY150m","meanFY150m","maxFY300m","meanFY300m","maxFY500m","meanFY500m","HARVESTAREA150","HARVESTAREA300","HARVESTAREA500","maxHY150m","meanHY150m","maxHY300m","meanHY300m","maxHY500m","meanHY500m","disturbance_year","treatment","TSD","AMRO","DEJU","RBNU","SWTH","YRWA","CHSP","WTSP","WWCR","PISI","HETH","MOCH","MODO","WETA","CEDW","NOFL","OSFL","HAFL","WAVI","WEWP","BBMA","ATTW","HAWO","RCKI","VATH","OCWA","TEWA","EVGR","LISP","BHGR","DUFL","EUST","MGWA","NHWR","NOWA","WCSP","WEFL","WIFL","YEWA","FOSP","GRCA","WIWA","BARS","GCKI","RNSA","ALFL","RBGR","VEER","YBSA","LEFL","VESP","BRSP","CCSP","SAVS","CLNU","BCCH","BHVI","CAVI","REVI","AMRE","PIWO","SOSP","TOSO","HDFL","TOWA","MOBL","PAWR","EAKI","COYE","DOWO","BBWO","MAWA","OVEN","WIWR","LAZB","BOCH","BRCR","LCSP","WBNU","PUFI","AMGO","HOSP","PIGR","CAFI","YBFL"
"MPB-B1-20",2023,2016,65242.45496,263062.8251,685874.3037,2,2,2,2,2,2,60497.4086,206016.0752,531385.9697,53.026393,-118.106484,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-21",2023,2016,9450.922506,81907.04085,258543.813,0,0,0,0,0,0,70653.54093,282278.0656,698475.2575,53.076598,-118.098008,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-3",2023,2016,70653.54093,261006.2332,641889.1897,3,2,3,2,2,2,70653.54093,282614.1637,785039.3436,53.150976,-118.030968,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-4",2023,2016,55187.1001,232423.9317,517365.5094,2,2,3,2,2,2,62846.92696,213058.5987,421215.4555,53.15801,-118.040903,2022,2022,2022,2022,2022,2021,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-5",2023,2016,58889.69939,226784.4337,634249.9042,3,2,2,2,2,2,70653.54093,251748.3664,634317.026,53.151548,-118.041689,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-6",2023,2016,69467.27812,260255.9719,652531.2486,2,2,2,2,2,2,70653.54093,282614.1637,785039.3436,53.125305,-118.037841,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-7",2023,2016,66606.02546,248789.0778,652534.3435,2,2,2,2,2,2,70653.54093,282614.1637,785039.3436,53.1276,-118.042694,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-8",2023,2016,54673.8837,164949.3294,536032.9765,0,0,2,2,2,2,70653.54093,282614.1637,785039.3436,53.121557,-118.042921,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B1-9",2023,2016,70653.54093,282614.1637,692564.1088,2,2,2,2,2,2,70653.54093,282614.1637,785039.3436,53.11894,-118.035849,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-35",2024,2016,70653.54093,257007.5975,587875.9687,2,2,2,2,2,2,70653.54093,258540.1067,565403.6978,53.024896,-118.112531,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-36",2024,2016,70309.51247,256195.1111,699266.1637,2,2,2,2,2,2,70653.54093,229813.9447,547144.9346,53.024337,-118.124709,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-37",2024,2016,70653.54073,280688.4708,664126.4957,2,3,2,3,2,3,70653.54093,246816.8865,654068.9636,53.027565,-118.12733,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-39",2024,2016,70653.54012,248898.2918,554177.9019,3,3,3,3,3,3,70653.54093,280862.2222,732979.5214,53.032641,-118.127272,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-40",2024,2016,1.9552292,23393.38799,104922.6198,0,0,0,0,0,0,70653.54093,282614.1637,785039.3436,53.042846,-118.127423,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-41",2024,2016,7837.765655,80749.27033,301738.8546,0,0,0,0,0,0,70653.54093,282614.1637,784994.6533,53.048107,-118.126163,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-42",2024,2016,0,34702.17217,201726.6463,0,0,0,0,0,0,70653.54093,282614.1637,785039.3436,53.054302,-118.118713,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-43",2024,2016,2948.75896,58321.87749,222209.4021,0,0,0,0,0,0,70653.54093,282614.1637,773684.9597,53.057355,-118.11454,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-44",2024,2016,0,2059.393283,86302.86641,0,0,2,2,2,2,70653.54093,282614.1637,759297.449,53.064658,-118.109007,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-45",2024,2016,0,21517.63717,33830.77905,0,0,2,2,2,2,70653.54093,278882.4995,693923.7951,53.068973,-118.10359,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-46",2024,2016,14731.80734,56486.09565,108890.1136,2,2,2,2,0,0,70653.54093,281859.6114,734231.4408,53.072353,-118.103118,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPB-B2-47",2024,2016,11005.4756,136932.804,354868.7166,0,0,2,0,2,2,70653.54093,282614.1637,776995.4401,53.080043,-118.096292,2022,2022,2022,2022,2022,2022,0,0,0,NA,NA,NA,NA,NA,NA,2022,"burn",2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
