"","location","latitude","longitude","year","BY150m","BY300m","geometry"
"61","MPB-S10-180",49.3688865,-114.3855695,2024,NA,NA,c(6998979.0516297, 11539013.9921019)
"62","MPB-S10-181",49.369308,-114.376251,2024,NA,NA,c(6999048.4444254, 11539695.372815)
"63","MPB-S10-182",49.3790315,-114.3601145,2024,NA,NA,c(6998173.25568631, 11541046.5731069)
"64","MPB-S10-183",49.37456,-114.368677,2024,NA,NA,c(6998561.55613498, 11540342.7363905)
"65","MPB-S10-184",49.3775005,-114.367716,2024,NA,NA,c(6998248.13015748, 11540468.1972573)
"66","MPB-S10-187",49.402857,-114.403004,2024,NA,NA,c(6995002.83497249, 11538402.8513499)
"67","MPB-S10-190",49.4126085,-114.405797,2024,NA,NA,c(6993888.88552202, 11538387.393034)
"68","MPB-S10-191",49.419889,-114.4055545,2024,NA,NA,c(6993086.18479434, 11538543.9571483)
"69","MPB-S10-197",49.417402,-114.404977,2024,NA,NA,c(6993368.61652096, 11538538.1518644)
"70","MPB-S10-198",49.4255815,-114.4082305,2024,NA,NA,c(6992422.84188903, 11538459.501556)
"71","MPB-S10-199",49.4100275,-114.4038,2024,NA,NA,c(6994199.40002942, 11538482.2989138)
"72","MPB-S10-200",49.4069895,-114.403717,2024,NA,NA,c(6994536.63440629, 11538430.2763527)
"73","MPB-S15-201",49.3966525,-114.4042675,2024,NA,NA,c(6995673.68123935, 11538193.1199061)
"74","MPB-S10-245",49.430182,-114.404857,2024,NA,NA,c(6991955.71559178, 11538790.906417)
"75","MPB-S10-246",49.423487,-114.4049515,2024,NA,NA,c(6992695.50197314, 11538656.2117412)
"76","MPB-S10-32",49.0110495,-113.646002,2024,NA,2003,c(7047598.77114461, 11585971.6889067)
"77","MPB-S10-329",48.9985645,-113.6530355,2024,NA,NA,c(7048895.45905455, 11585232.644637)
"78","MPB-S10-33",49.013329,-113.6420825,2024,NA,NA,c(7047393.54687313, 11586298.3450485)
"79","MPB-S10-34",49.017436,-113.634036,2024,NA,NA,c(7047035.52548987, 11586958.4803219)
"80","MPB-S10-40",49.023975,-113.627322,2024,NA,NA,c(7046392.48169391, 11587565.8152369)
"81","MPB-S10-41",49.025336,-113.624278,2024,NA,NA,c(7046278.31223211, 11587811.9948841)
"82","MPB-S10-42",49.027041,-113.620566,2024,NA,2003,c(7046134.06110742, 11588113.0107788)
"83","MPB-S10-700",49.40775,-114.3631915,2024,NA,NA,c(6994956.85506522, 11541371.3216588)
"84","MPB-S10-710",49.353677,-114.32164,2024,NA,NA,c(7001456.81884848, 11543344.7403064)
"85","MPB-S10-711",49.354075,-114.3165015,2024,NA,NA,c(7001476.54023299, 11543723.7325154)
"86","MPB-S10-712",49.356355,-114.317634,2024,NA,NA,c(7001210.19712464, 11543685.1762656)
"87","MPB-S10-713",49.372098,-114.334626,2024,NA,NA,c(6999257.21600896, 11542756.3230349)
"88","MPB-S10-714",49.3699725,-114.33096,2024,NA,NA,c(6999537.93802733, 11542980.8275856)
"89","MPB-B10-84",49.02201,-113.58625,2023,2003,2003,c(7047100.20318858, 11590518.1985185)
