location,latitude,longitude,year
MPB-S5-502,52.551648,-117.684798,2024
MPB-S5-503,52.5314385,-117.641873,2024
MPB-S5-504,52.528565,-117.63996,2024
MPB-S5-505,52.5258,-117.64156,2024
MPB-S5-506,52.5230795,-117.6435045,2024
MPB-S5-507,52.5210325,-117.648259,2024
MPB-S5-508,52.5185065,-117.64965,2024
MPB-S5-509,52.515412,-117.6484215,2024
MPB-S5-510,52.5126415,-117.65025,2024
MPB-S5-511,52.5092235,-117.6483415,2024
MPB-S5-512,52.5058415,-117.647032,2024
MPB-S5-991,52.556963,-117.695147,2024
MPB-S5-992,52.5589425,-117.699942,2024
MPB-B1-1,53.168367,-118.036606,2023
MPB-B1-3,53.150976,-118.030968,2023
MPB-B1-4,53.15801,-118.040903,2023
MPB-B1-5,53.151548,-118.041689,2023
MPB-B1-6,53.125305,-118.037841,2023
MPB-B1-7,53.1276,-118.042694,2023
MPB-B1-8,53.121557,-118.042921,2023
MPB-B1-9,53.11894,-118.035849,2023
MPB-S5-1,52.90903,-117.966253,2023
MPB-S5-2,52.914677,-117.936873,2023
MPB-S5-3,52.913615,-117.925577,2023
MPB-S5-4,52.734364,-117.962727,2023
MPB-S5-5,52.912808,-117.994266,2023
MPB-S5-6,52.910438,-117.938581,2023
MPB-S5-7,52.90805,-117.990306,2023
MPB-S5-8,52.906988,-117.925733,2023
MPB-S5-9,52.889893,-117.997487,2023
MPB-B1-10,53.102538,-118.061879,2023
MPB-B1-11,53.100036,-118.059144,2023
MPB-B1-12,53.096546,-118.060372,2023
MPB-B1-14,53.08415,-118.092109,2023
MPB-B1-15,53.060699,-118.114078,2023
MPB-B1-16,53.05830226,-118.1213429,2023
MPB-B1-17,53.04022,-118.136878,2023
MPB-B1-18,53.058302,-118.121343,2023
MPB-B1-19,53.028697,-118.104232,2023
MPB-B1-20,53.026393,-118.106484,2023
MPB-B1-21,53.076598,-118.098008,2023
MPB-B5-68,55.663765,-114.591269,2023
MPB-B5-69,55.659838,-114.59185,2023
MPB-S5-10,52.886063,-117.991068,2023
MPB-S5-11,52.921097,-117.988848,2023
MPB-S5-12,52.953009,-118.05529,2023
MPB-S5-14,52.92049,-118.065347,2023
MPB-S5-15,52.90713,-118.01716,2023
MPB-S5-16,52.889347,-118.044129,2023
MPB-S5-17,53.159663,-118.057305,2023
MPB-B10-84,49.02201,-113.58625,2023
MPB-B10-85,49.02741,-113.5807,2023
MPB-B3-561,55.599785,-114.531728,2023
MPB-B3-562,55.602697,-114.529777,2023
MPB-B5-200,49.08583,-113.9695,2023
MPB-B5-201,49.06635,-114.00308,2023
MPB-B5-202,49.06744,-114.00873,2023
MPB-B5-204,49.018489,-114.042056,2023
MPB-B5-206,49.01934,-114.04838,2023
MPB-B5-207,49.015792,-114.051051,2023
MPB-B5-208,49.01277,-114.05262,2023
MPB-B5-209,49.09147,-113.96665,2023
MPB-B5-211,49.09621,-113.9665,2023
MPB-B5-225,49.01324,-113.66664,2023
MPB-B5-228,49.100414,-113.943562,2023
MPB-B5-229,49.10086,-113.96761,2023
MPB-B5-233,49.13542,-114.03545,2023
MPB-B5-238,49.05258,-113.91872,2023
MPB-B5-240,49.066535,-113.885487,2023
MPB-B5-299,49.13241,-114.03049,2023
MPB-B5-554,55.662453,-114.595138,2023
MPB-B5-560,55.66128,-114.60623,2023
MPB-B5-561,55.66484,-114.60586,2023
MPB-B5-563,55.66257,-114.60069,2023
MPB-B5-626,49.09439,-113.96369,2023
MPB-B5-635,49.14024,-114.04219,2023
MPB-B5-918,52.867148,-117.80501,2023
MPB-B5-919,52.865785,-117.801003,2023
MPB-B5-920,52.864488,-117.796932,2023
MPB-B5-921,52.864145,-117.792371,2023
MPB-B5-968,52.87463,-117.80979,2023
MPB-B5-969,52.87594,-117.81389,2023
MPB-B5-970,52.87847,-117.81519,2023
MPB-B5-971,52.87304,-117.81349,2023
MPB-H1-900,52.873876,-118.10962,2023
MPB-H1-904,52.878374,-118.115179,2023
MPB-H1-905,52.879937,-118.118921,2023
MPB-H1-906,52.880072,-118.123093,2023
MPB-H1-954,52.87148,-118.13196,2023
MPB-H1-955,52.87147,-118.13196,2023
MPB-H1-956,52.86986,-118.1258,2023
MPB-S5-901,52.87371,-118.11764,2023
MPB-S5-902,52.87611,-118.117439,2023
MPB-S5-903,52.87611,-118.117439,2023
MPB-S5-907,52.773467,-118.000035,2023
MPB-S5-908,52.772869,-117.994963,2023
MPB-S5-909,52.750854,-117.960557,2023
MPB-S5-910,52.747953,-117.95759,2023
MPB-S5-911,52.745082,-117.955418,2023
MPB-S5-912,52.677109,-117.887913,2023
MPB-S5-913,52.713564,-117.934872,2023
MPB-S5-914,52.909893,-118.002617,2023
MPB-S5-915,52.908244,-118.007666,2023
